Tahun;Kabupaten;Jumlah
2014;Buton;96634
2014;Muna;208916
2014;Konawe;229801
2014;Kolaka;235652
2014;Konawe Selatan;289815
2014;Bombana;159718
2014;Wakatobi;94789
2014;Kolaka Utara;136883
2014;Buton Utara;58918
2014;Konawe Utara;57077
2014;Kolaka Timur;120092
2014;Konawe Kepulauan;31183
2014;Muna Barat;76061
2014;Buton Tengah;88402
2014;Buton Selatan;76766
2014;Kota Kendari;335889
2014;Kota Baubau;151485
2015;Buton;97670
2015;Muna;211622
2015;Konawe;233610
2015;Kolaka;241555
2015;Konawe Selatan;295326
2015;Bombana;164809
2015;Wakatobi;94985
2015;Kolaka Utara;140706
2015;Buton Utara;59779
2015;Konawe Utara;58401
2015;Kolaka Timur;123096
2015;Konawe Kepulauan;31688
2015;Muna Barat;77084
2015;Buton Tengah;89289
2015;Buton Selatan;77547
2015;Kota Kendari;347496
2015;Kota Baubau;154877
2016;Buton;99352
2016;Muna;215442
2016;Konawe;238067
2016;Kolaka;246918
2016;Konawe Selatan;299928
2016;Bombana;170020
2016;Wakatobi;95209
2016;Kolaka Utara;142614
2016;Buton Utara;61124
2016;Konawe Utara;59673
2016;Kolaka Timur;125859
2016;Konawe Kepulauan;32307
2016;Muna Barat;78476
2016;Buton Tengah;90159
2016;Buton Selatan;78218
2016;Kota Kendari;359371
2016;Kota Baubau;158271
2017;Buton;100440
2017;Muna;218680
2017;Konawe;244324
2017;Kolaka;251520
2017;Konawe Selatan;304214
2017;Bombana;175497
2017;Wakatobi;95386
2017;Kolaka Utara;144681
2017;Buton Utara;62088
2017;Konawe Utara;60884
2017;Kolaka Timur;128154
2017;Konawe Kepulauan;33212
2017;Muna Barat;79649
2017;Buton Tengah;91099
2017;Buton Selatan;79053
2017;Kota Kendari;370728
2017;Kota Baubau;162780
2018;Buton;101618
2018;Muna;221343
2018;Konawe;249010
2018;Kolaka;256827
2018;Konawe Selatan;309298
2018;Bombana;180035
2018;Wakatobi;95737
2018;Kolaka Utara;147863
2018;Buton Utara;63070
2018;Konawe Utara;62403
2018;Kolaka Timur;130860
2018;Konawe Kepulauan;33680
2018;Muna Barat;80619
2018;Buton Tengah;92165
2018;Buton Selatan;79979
2018;Kota Kendari;381628
2018;Kota Baubau;167519
2019;Buton;102641
2019;Muna;224099
2019;Konawe;254695
2019;Kolaka;261664
2019;Konawe Selatan;314785
2019;Bombana;184570
2019;Wakatobi;95892
2019;Kolaka Utara;150831
2019;Buton Utara;64072
2019;Konawe Utara;63814
2019;Kolaka Timur;133324
2019;Konawe Kepulauan;34219
2019;Muna Barat;81624
2019;Buton Tengah;93091
2019;Buton Selatan;80784
2019;Kota Kendari;392830
2019;Kota Baubau;171802
2020;Buton;114800
2020;Muna;214750
2020;Konawe;255640
2020;Kolaka;237130
2020;Konawe Selatan;307470
2020;Bombana;150160
2020;Wakatobi;110880
2020;Kolaka Utara;137000
2020;Buton Utara;66270
2020;Konawe Utara;67510
2020;Kolaka Timur;120330
2020;Konawe Kepulauan;36900
2020;Muna Barat;84200
2020;Buton Tengah;113960
2020;Buton Selatan;94680
2020;Kota Kendari;344540
2020;Kota Baubau;158820
2021;Buton;116600
2021;Muna;218060
2021;Konawe;260290
2021;Kolaka;240100
2021;Konawe Selatan;312920
2021;Bombana;152860
2021;Wakatobi;112760
2021;Kolaka Utara;139890
2021;Buton Utara;67200
2021;Konawe Utara;69100
2021;Kolaka Timur;122170
2021;Konawe Kepulauan;37610
2021;Muna Barat;85900
2021;Buton Tengah;115800
2021;Buton Selatan;96320
2021;Kota Kendari;351060
2021;Kota Baubau;161280
2022;Buton;118410
2022;Muna;221370
2022;Konawe;264930
2022;Kolaka;243040
2022;Konawe Selatan;318350
2022;Bombana;155510
2022;Wakatobi;114620
2022;Kolaka Utara;142770
2022;Buton Utara;68090
2022;Konawe Utara;70680
2022;Kolaka Timur;123980
2022;Konawe Kepulauan;38310
2022;Muna Barat;87590
2022;Buton Tengah;117630
2022;Buton Selatan;97950
2022;Kota Kendari;357650
2022;Kota Baubau;163720
2023;Buton;120210
2023;Muna;224690
2023;Konawe;269520
2023;Kolaka;245930
2023;Konawe Selatan;323790
2023;Bombana;158110
2023;Wakatobi;116450
2023;Kolaka Utara;145640
2023;Buton Utara;68950
2023;Konawe Utara;72250
2023;Kolaka Timur;125770
2023;Konawe Kepulauan;39000
2023;Muna Barat;89290
2023;Buton Tengah;119460
2023;Buton Selatan;99580
2023;Kota Kendari;364220
2023;Kota Baubau;166150
